!! request processed by HyperLeda Tue Feb  1 20:12:14 2022
!! Number of lines in uploaded file: 673
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |     logd25      |     logr25      |    e_logr25     |       pa        |       bt        |       it        |      vmaxg      |       m21       |      mfir       |        v        |       ag        |      incl       |      vrot       |      vvir       |      modz       |
NGC1211                                 |  NGC1211        | 3.1145596       | -0.7944535      | S0-a            | B               | R               | M               | 0               |  1.174          |  0.194          |    0.028        | 162.65          | 13.266          | 11.816          | 83.49           | 14.716          |                 | 3209.5          | 0.307           | 55.92           | 100.8           | 3077.9          | 33.246          |
NGC1270                                 |  NGC1270        | 3.3161565       | 41.4699989      | E               |                 |                 |                 | -4.9            |  1.023          |  0.034          |     0.03        |                 | 14.218          |                 |                 |                 | 14.845          | 4971.5          | 0.713           |   31            |                 | 5054.1          | 34.335          |
NGC1271                                 |  NGC1271        | 3.3198001       | 41.3532645      | S0              | B               |                 |                 | -2              |   0.91          |    0.2          |    0.028        | 123.08          | 15.103          | 13.199          |                 |                 |                 | 5959.7          | 0.716           | 61.79           |                 | 6041.7          | 34.723          |
NGC1281                                 |  NGC1281        | 3.3350304       | 41.629998       | E               |                 |                 |                 | -4.9            |  0.892          |  0.266          |    0.075        | 68.29           | 14.521          | 12.986          |                 |                 |                 | 4219.7          | 0.721           |   90            |                 | 4302.9          | 33.972          |
NGC1324                                 |  NGC1324        | 3.4171325       | -5.7458323      | Sb              |                 |                 |                 | 3               |  1.375          |  0.538          |    0.027        | 140.68          | 13.401          | 11.799          | 292.06          | 15.044          | 12.789          | 5668.3          | 0.201           |   82            | 294.92          | 5507.4          | 34.521          |
NGC1349                                 |  NGC1349        | 3.5243167       | 4.3808611       | S0              |                 |                 |                 | -2              |  0.959          |      0          |    0.032        |                 | 14.218          |                 | 169.37          | 16.476          |                 | 6600            | 0.945           |    0            |                 | 6485.2          | 34.881          |
NGC1361                                 |  NGC1361        | 3.5715929       | -6.2649599      | E-S0            | B               |                 |                 | -3              |  1.093          |  0.171          |    0.023        | 43.75           | 14.676          | 12.799          |                 |                 |                 | 5254.2          | 0.174           | 61.03           |                 | 5088.1          | 34.352          |
NGC1542                                 |  NGC1542        | 4.287275        | 4.7815833       | Sab             |                 |                 |                 | 2               |  1.085          |  0.483          |    0.033        | 127.75          | 15.033          |                 | 186.85          | 17.356          | 13.637          | 3728.6          | 0.913           | 80.78           | 189.3           | 3604.6          | 33.59           |
NGC1590                                 |  NGC1590        | 4.5195          | 7.6309167       | Sc              |                 |                 |                 | 5               |  0.953          |  0.051          |    0.048        | 110             | 14.488          |                 | 133.64          | 15.695          | 12.038          | 3913.3          | 0.872           | 27.86           | 285.97          | 3801.4          | 33.709          |
NGC1645                                 |  NGC1645        | 4.7351111       | -5.46575        | S0-a            | B               | R               |                 | -0.9            |  1.339          |  0.422          |    0.027        | 89.2            | 14              | 11.719          | 117.01          | 15.82           |                 | 4890.8          | 0.231           |   90            | 117.01          | 4714.1          | 34.189          |
NGC1656                                 |  NGC1656        | 4.764834        | -5.1367548      | S0-a            | B               |                 |                 | -1.3            |   1.24          |  0.259          |    0.026        | 109.34          | 14.5            | 11.43           |                 |                 |                 | 3770.1          | 0.235           | 68.06           |                 | 3594.7          | 33.59           |
NGC1659                                 |  NGC1659        | 4.7749861       | -4.7887361      | Sbc             |                 | R               |                 | 4               |  1.176          |  0.204          |    0.022        | 51.45           | 13.205          | 11.712          | 151.88          | 15.859          | 12.059          | 4662            | 0.158           | 53.24           | 189.58          | 4488.1          | 34.073          |
NGC1665                                 |  NGC1665        | 4.8047403       | -5.427625       | S0              | B               |                 |                 | -1.8            |  1.253          |  0.225          |    0.025        | 55.83           | 14.06           | 11.347          |                 |                 |                 | 2751.7          | 0.265           | 64.96           |                 | 2574.7          | 32.873          |
NGC1666                                 |  NGC1666        | 4.8091236       | -6.5700972      | S0-a            | B               | R               |                 | -1              |  1.129          |  0.029          |    0.024        |                 | 13.666          | 11.34           |                 |                 |                 | 2756.9          | 0.374           | 22.77           |                 | 2574.9          | 32.873          |
NGC1667                                 |  NGC1667        | 4.8103277       | -6.319777       | SABc            | B               | R               |                 | 5               |  1.273          |  0.109          |    0.053        | 0.83            | 12.766          | 10.825          | 170.54          | 15.792          | 11.062          | 4566.6          | 0.329           | 39.81           | 266.34          | 4385.7          | 34.033          |
NGC1677                                 |  NGC1659        | 4.7749861       | -4.7887361      | Sbc             |                 | R               |                 | 4               |  1.176          |  0.204          |    0.022        | 51.45           | 13.205          | 11.712          | 151.88          | 15.859          | 12.059          | 4662            | 0.158           | 53.24           | 189.58          | 4488.1          | 34.073          |
NGC2253                                 |  NGC2253        | 6.7282806       | 65.20625        | Sc              |                 |                 |                 | 5.8             |  1.154          |  0.131          |    0.022        | 129.5           | 12.921          | 11.504          | 146.53          | 14.86           | 11.692          | 3565            | 0.294           | 43.26           | 213.8           | 3753.9          | 33.686          |
NGC2347                                 |  NGC2347        | 7.2677541       | 64.7107858      | Sb              |                 | R               |                 | 3.1             |  1.216          |   0.14          |    0.034        | 5.2             | 13.314          | 11.502          | 202.18          | 14.939          | 12.141          | 4423.8          | 0.349           | 45.43           | 283.78          | 4614.4          | 34.132          |
NGC2410                                 |  NGC2410        | 7.5839628       | 32.8221293      | Sb              | B               |                 |                 | 3.1             |  1.336          |  0.525          |    0.048        | 32.83           | 13.791          | 12.005          | 229.63          | 15.286          | 12.519          | 4678.4          | 0.19            | 80.61           | 232.75          | 4719.8          | 34.189          |
NGC2449                                 |  NGC2449        | 7.7889734       | 26.9301937      | SBab            | B               |                 |                 | 2               |  1.157          |  0.403          |     0.03        | 135.47          | 14.111          | 12.401          | 101.13          | 16.591          |                 | 4880.6          | 0.191           | 73.74           | 105.34          | 4895.2          | 34.263          |
NGC2476                                 |  NGC2476        | 7.9458829       | 39.9278061      | E               |                 |                 |                 | -4.9            |  1.102          |  0.269          |    0.058        | 143.24          | 13.555          |                 |                 |                 |                 | 3729.2          | 0.229           |   90            |                 | 3813.9          | 33.709          |
NGC2480                                 |  NGC2480        | 7.9528982       | 23.7797771      | SBm             | B               |                 | M               | 9.3             |   1.12          |   0.41          |     0.03        | 163.08          | 14.997          | 13.807          | 39.62           | 16.846          | 13.504          | 2343.2          | 0.28            |   90            | 39.62           | 2345            | 32.661          |
NGC2481                                 |  NGC2481        | 7.9538157       | 23.7677168      | S0-a            | B               |                 | M               | -0.3            |  1.146          |  0.386          |    0.032        | 18.5            | 13.322          | 11.296          | 63.29           | 16.921          |                 | 2180.4          | 0.28            | 81.47           |   64            | 2182.2          | 32.507          |
NGC2484                                 |  NGC2484        | 7.9744696       | 37.7866546      | S0              |                 |                 |                 | -2.1            |  1.229          |  0.214          |    0.026        | 140.69          | 14.181          | 12.597          |                 |                 |                 | 12238.9         | 0.201           | 64.43           |                 | 12313.5         | 36.288          |
NGC2487                                 |  NGC2487        | 7.972353        | 25.1492118      | Sb              | B               | R               |                 | 3.1             |  1.238          |  0.085          |    0.025        |                 | 13.38           | 12.169          | 119.43          | 15.461          | 13.46           | 4830.7          | 0.219           | 35.97           | 203.31          | 4840.1          | 34.245          |
NGC2507                                 |  NGC2507        | 8.0270046       | 15.709759       | S0-a            |                 |                 | M               | 0.1             |  1.181          |  0.026          |    0.049        |                 | 13.916          |                 |                 |                 |                 | 4574.1          | 0.158           | 21.15           |                 | 4535.8          | 34.093          |
NGC2513                                 |  NGC2513        | 8.0401849       | 9.413523        | E               |                 |                 |                 | -4.9            |   1.28          |  0.126          |    0.026        | 152.69          | 12.625          |                 | 63.18           | 17.894          |                 | 4702.2          | 0.1             | 63.66           | 70.5            | 4632            | 34.151          |
NGC2522                                 |  NGC2522        | 8.1037337       | 17.7065828      | S0-a            |                 |                 |                 | 0               |  1.062          |  0.546          |    0.054        | 33.07           | 14.101          | 12.105          |                 |                 |                 | 4706.8          | 0.268           |   90            |                 | 4680.7          | 34.17           |
NGC2526                                 |  NGC2526        | 8.1162841       | 8.0039028       | Sab             |                 |                 | M               | 2.4             |  0.961          |  0.298          |     0.05        | 136.68          | 14.584          | 13.311          | 155.42          | 15.039          | 13.385          | 4544.8          | 0.105           | 64.07           | 172.81          | 4469.4          | 34.073          |
NGC2530                                 |  NGC2530        | 8.1321111       | 17.8183889      | Scd             | B               |                 | M               | 6.6             |  1.147          |   0.17          |    0.024        | 170.54          | 14.622          | 12.43           | 67.04           | 15.504          | 13.135          | 5028            | 0.204           | 48.29           | 89.8            | 5003.2          | 34.317          |
NGC2540                                 |  NGC2540        | 8.2128998       | 26.361597       | Sc              | B               |                 |                 | 5.5             |  1.094          |  0.284          |    0.025        | 123.3           | 14.397          | 12.707          | 153.19          | 16.123          | 12.94           | 6288.8          | 0.148           | 60.43           | 176.14          | 6310.2          | 34.81           |
NGC2543                                 |  NGC2543        | 8.2160906       | 36.2546197      | Sb              | B               | R               | M               | 3               |  1.385          |  0.333          |     0.05        | 52.42           | 13.08           | 11.765          | 138.03          | 14.352          | 11.939          | 2470.7          | 0.298           | 66.38           | 150.66          | 2542.6          | 32.839          |
NGC2553                                 |  NGC2553        | 8.2930547       | 20.9031599      | Sa              |                 | R               |                 | 1               |  1.044          |   0.22          |    0.028        | 56.58           | 14.695          | 12.643          |                 |                 |                 | 4670.7          | 0.161           | 57.68           |                 | 4666            | 34.151          |
NGC2554                                 |  NGC2554        | 8.2981892       | 23.4722394      | S0-a            |                 | R               | M               | -0.1            |   1.31          |  0.192          |    0.033        | 153.75          | 12.946          |                 | 241.28          | 16.801          | 13.386          | 4128.9          | 0.246           | 55.75           | 291.9           | 4137.6          | 33.888          |
NGC2558                                 |  NGC2558        | 8.3202106       | 20.5106997      | Sab             | B               |                 |                 | 2               |  1.155          |  0.192          |    0.029        | 158.76          | 13.875          | 12.219          | 184.46          | 15.147          |                 | 4980.3          | 0.215           | 53.16           | 230.48          | 4974.3          | 34.299          |
NGC2565                                 |  NGC2565        | 8.3300917       | 22.0314167      | Sbc             | B               | R               | M               | 3.7             |  1.222          |  0.358          |    0.021        | 165.67          | 13.295          | 11.52           | 185.34          | 14.908          | 13.241          | 3581            | 0.206           | 67.71           | 200.3           | 3583.1          | 33.59           |
NGC2572                                 |  NGC2572        | 8.3568397       | 19.1477711      | SBa             | B               | R               |                 | 1               |  1.085          |  0.365          |     0.03        | 134.64          | 14.723          | 13.245          | 244.91          | 15.906          |                 | 7970.3          | 0.218           | 72.82           | 256.35          | 7958.3          | 35.322          |
NGC2577                                 |  NGC2577        | 8.3787382       | 22.5530479      | E-S0            |                 |                 |                 | -2.9            |  1.191          |  0.246          |    0.026        | 105             | 13.428          |                 | 222.76          | 19.109          |                 | 2112.1          | 0.233           | 76.31           | 229.28          | 2118.1          | 32.466          |
NGC2592                                 |  NGC2592        | 8.4522375       | 25.97031        | E               |                 |                 |                 | -4.8            |  1.166          |   0.09          |    0.025        | 47.17           | 13.555          |                 |                 |                 |                 | 2043.7          | 0.255           | 51.27           |                 | 2069.2          | 32.384          |
NGC2595                                 |  NGC2595        | 8.4616721       | 21.4791171      | Sc              | B               | R               | M               | 5               |   1.22          |   0.17          |    0.028        | 30.57           | 13.165          | 11.431          | 159.24          | 14.938          | 12.852          | 4326.2          | 0.172           | 48.78           | 211.71          | 4328.9          | 33.993          |
NGC2596                                 |  NGC2596        | 8.4573682       | 17.2841269      | Sb              |                 |                 |                 | 3.1             |  1.141          |  0.436          |    0.026        | 63.92           | 14.211          | 12.466          | 203.17          | 15.42           | 13.141          | 5935.3          | 0.177           | 74.22           | 211.13          | 5916.4          | 34.678          |
NGC2604                                 |  NGC2604        | 8.5564206       | 29.5387746      | SBc             | B               |                 | M               | 6               |   1.17          |  0.033          |    0.023        |                 | 13.624          | 13.264          | 60.28           | 14.164          | 12.758          | 2083.4          | 0.178           | 22.44           | 157.9           | 2129.7          | 32.467          |
NGC2623                                 |  NGC2623        | 8.6400187       | 25.7545702      | Sb              |                 |                 | M               | 2.7             |  1.379          |  0.536          |    0.081        | 36.46           | 13.984          | 13.277          | 34.14           | 16.689          | 9.847           | 5496.6          | 0.178           | 82.99           | 34.39           | 5526            | 34.521          |
NGC2638                                 |  NGC2638        | 8.7071583       | 37.2210462      | S0-a            | B               | R               |                 | 0.1             |  1.219          |  0.451          |    0.057        | 69.88           | 13.722          | 12.507          | 228.59          | 16.703          |                 | 3853.3          | 0.169           |   90            | 228.59          | 3941.5          | 33.8            |
NGC2639                                 |  NGC2639        | 8.7272387       | 50.2055329      | Sa              |                 | R               |                 | 0.8             |  1.207          |  0.125          |    0.059        | 140             | 12.596          |                 | 269.76          |                 | 12.034          | 3225            | 0.102           | 44.64           | 383.91          | 3373.7          | 33.464          |
NGC2691                                 |  NGC2691        | 8.9128642       | 39.5388353      | Sa              |                 |                 |                 | 1.1             |    1.1          |  0.147          |    0.047        | 166.04          | 13.932          | 12.754          | 182.38          | 15.47           | 12.651          | 4012.9          | 0.105           | 47.92           | 245.72          | 4117.3          | 33.888          |
NGC2730                                 |  NGC2730        | 9.037727        | 16.8382614      | Sd              | B               |                 |                 | 8               |   1.16          |   0.18          |     0.03        | 71.99           | 13.78           | 13.252          | 83.79           | 15.414          | 13.209          | 3826.2          | 0.118           | 55.72           | 101.4           | 3822.3          | 33.732          |
NGC2767                                 |  NGC2767        | 9.1699684       | 50.4013434      | E-S0            | B               | R               |                 | -3.3            |  0.858          |   0.06          |    0.047        | 166.74          | 14.511          | 12.911          |                 |                 |                 | 4925.7          | 0.081           | 36.12           |                 | 5084.3          | 34.352          |
NGC2780                                 |  NGC2780        | 9.2123272       | 34.9255443      | Sb              | B               | R               |                 | 2.7             |  1.025          |  0.141          |    0.023        | 147.31          | 14.208          | 13.088          | 109.97          | 17.206          |                 | 1955.2          | 0.103           | 45.91           | 153.12          | 2045.7          | 32.384          |
NGC2805                                 |  NGC2805        | 9.3389935       | 64.1029681      | SABc            | B               | R               | M               | 6.9             |   1.53          |  0.089          |     0.03        | 153.98          | 11.787          | 10.766          |  41.4           | 13.012          |                 | 1733            | 0.219           | 36.01           | 70.41           | 1946.1          | 32.254          |
NGC2880                                 |  NGC2880        | 9.4929378       | 62.4906177      | E-S0            | B               | R               |                 | -2.6            |  1.368          |  0.221          |    0.057        | 141.66          | 12.525          | 11.148          |                 |                 |                 | 1481            | 0.143           | 68.45           |                 | 1691.3          | 31.968          |
NGC2906                                 |  NGC2906        | 9.5350625       | 8.4418092       | Sc              |                 |                 | M               | 5.7             |  1.132          |  0.226          |    0.047        | 70.71           | 13.173          | 11.785          | 156.66          | 15.639          | 12.376          | 2279            | 0.205           | 54.96           | 191.34          | 2250.1          | 32.585          |
NGC2916                                 |  NGC2916        | 9.5826648       | 21.7052457      | Sb              |                 |                 |                 | 3.1             |  1.378          |  0.157          |    0.045        | 15.65           | 12.745          | 12.306          | 172.33          | 14.959          | 12.551          | 3716.2          | 0.115           | 47.92           | 232.18          | 3754.2          | 33.686          |
NGC2918                                 |  NGC2918        | 9.5955682       | 31.7054665      | E               |                 |                 |                 | -4.7            |  1.192          |  0.167          |    0.026        | 65.83           | 13.519          | 11.992          |                 |                 |                 | 6756.3          | 0.083           | 77.27           |                 | 6842.8          | 34.989          |
NGC3057                                 |  NGC3057        | 10.0942421      | 80.2856861      | Sd              | B               |                 |                 | 7.8             |   1.16          |  0.198          |    0.028        | 7.96            | 13.589          |                 | 55.12           | 15.064          | 13.707          | 1525.1          | 0.103           | 58.32           | 64.77           | 1787.1          | 32.115          |
NGC3106                                 |  NGC3106        | 10.0681263      | 31.1854293      | S0              |                 | R               |                 | -1.8            |   0.95          |   0.56          |    0.028        | 123.7           | 13.31           | 12.128          | 102.34          | 15.582          |                 | 6193.7          | 0.104           |   90            | 102.34          | 6292.7          | 34.81           |
NGC3158                                 |  NGC3158        | 10.230702       | 38.764939       | E               |                 |                 |                 | -4.8            |  1.365          |  0.077          |    0.028        | 151.58          | 12.894          | 11.611          |                 |                 |                 | 6921.1          | 0.057           | 47.39           |                 | 7058.5          | 35.055          |
NGC3160                                 |  NGC3160        | 10.2319672      | 38.8429692      | Sab             | B               |                 |                 | 2               |  1.096          |  0.693          |    0.046        | 140.09          | 15.02           | 13.234          |                 |                 |                 | 6861.1          | 0.059           |   90            |                 | 6998.8          | 35.042          |
NGC3182                                 |  NGC3182        | 10.3258397      | 58.2057721      | S0-a            |                 | R               |                 | 0.3             |  1.283          |  0.081          |    0.053        | 145.05          | 12.947          | 11.798          | 126.7           | 16.89           |                 | 2098.7          | 0.053           | 36.64           | 212.29          | 2310.5          | 32.623          |
NGC3220                                 |  NGC3220        | 10.395709       | 57.0269647      | Sb              |                 |                 |                 | 3.4             |  1.071          |  0.389          |    0.027        | 95.73           | 13.911          | 13.321          | 80.75           | 15.156          |                 | 1165.1          | 0.065           | 70.36           | 85.74           | 1374.7          | 31.518          |
NGC3300                                 |  NGC3300        | 10.6106743      | 14.1712429      | S0              | B               | R               |                 | -1.8            |  1.184          |  0.291          |    0.025        | 173.64          | 13.323          | 11.918          |                 |                 |                 | 3017.7          | 0.165           | 75.44           |                 | 3056.5          | 33.246          |
NGC3303                                 |  NGC3303        | 10.6166915      | 18.1358324      | Sa              |                 |                 | M               | 0.5             |   1.04          |  0.175          |    0.027        | 157             | 14.441          |                 | 153.41          | 16.295          |                 | 6277.3          | 0.119           | 52.53           | 193.31          | 6335            | 34.825          |
NGC3323                                 |  NGC3323        | 10.6608443      | 25.3227447      | SBbc            | B               |                 |                 | 3.8             |  0.977          |  0.259          |    0.027        | 171.16          | 14.336          | 13.446          | 132.29          | 15.232          | 12.609          | 5193            | 0.107           | 59.11           | 154.15          | 5285.6          | 34.421          |
NGC3353                                 |  NGC3353        | 10.7562208      | 55.9603651      | SABb            | B               |                 | M               | 4.1             |  1.133          |  0.143          |    0.043        | 75.69           | 13.221          | 12.645          | 41.37           | 14.939          | 11.492          | 941.9           | 0.032           | 45.47           | 58.03           | 1156            | 31.181          |
NGC3381                                 |  NGC3381        | 10.8068937      | 34.7114023      | SBbc            | B               |                 |                 | 3.6             |  1.305          |  0.044          |    0.042        | 75.87           | 12.893          | 12.397          | 43.29           | 14.807          | 12.551          | 1628.1          | 0.089           | 26.26           | 97.85           | 1766.6          | 32.067          |
NGC3395                                 |  NGC3395        | 10.8305861      | 32.9828333      | Sc              | B               |                 | M               | 5.8             |  1.204          |  0.256          |    0.041        | 40.45           | 12.395          |                 | 86.06           | 13.505          |                 | 1619            | 0.107           | 57.84           | 101.66          | 1751            | 32.067          |
NGC3406                                 |  NGC3406        | 10.8621233      | 51.0221719      | E               |                 |                 | M               | -3.8            |  1.161          |  0.156          |    0.046        | 84.42           | 13.835          | 12.835          |                 |                 |                 | 7480.2          | 0.056           | 62.31           |                 | 7681.3          | 35.252          |
NGC3600                                 |  NGC3600        | 11.264445       | 41.5911199      | SBa             | B               |                 |                 | 1.4             |  1.273          |  0.502          |    0.028        | 3.53            | 12.984          | 12.578          | 86.91           | 13.6            | 12.805          | 703.3           | 0.083           | 87.65           | 86.98           |  883            | 30.601          |
NGC3610                                 |  NGC3610        | 11.3070194      | 58.7862361      | E               | B               | R               |                 | -3.9            |  1.378          |  0.004          |     0.05        |                 | 11.627          |                 |                 |                 |                 | 1699.7          | 0.044           | 10.22           |                 | 1933.5          | 32.254          |
NGC3614                                 |  NGC3614        | 11.3059266      | 45.7482127      | SABc            | B               | R               |                 | 5.2             |  1.398          |  0.157          |    0.031        | 87.69           | 13.01           | 11.733          | 131.5           | 14.019          | 12.922          | 2328.9          | 0.061           | 46.98           | 179.85          | 2524.3          | 32.839          |
NGC3615                                 |  NGC3615        | 11.301849       | 23.3973077      | E               |                 |                 |                 | -4.9            |  1.179          |  0.219          |    0.025        | 40.05           | 13.887          | 11.936          |                 |                 |                 | 6612.3          | 0.078           |   90            |                 | 6719.6          | 34.949          |
NGC3619                                 |  NGC3619        | 11.3226594      | 57.7578059      | S0-a            |                 |                 |                 | -1              |   1.59          |  0.102          |    0.053        | 25              | 12.534          |                 | 165.11          | 15.527          | 13.615          | 1544.3          | 0.076           | 42.41           | 244.83          | 1775.8          | 32.067          |
NGC3687                                 |  NGC3687        | 11.46683        | 29.5110084      | Sbc             | B               | R               | M               | 3.8             |  1.147          |  0.455          |    0.058        | 173.32          | 12.986          | 12.073          | 76.09           | 15.005          |                 | 2502.8          | 0.096           | 74.41           | 78.99           | 2642.1          | 32.94           |
NGC3773                                 |  NGC3773        | 11.6369255      | 12.1120216      | S0              |                 |                 | M               | -2.1            |  1.089          |  0.102          |    0.024        | 161.37          | 13.315          | 13.012          | 38.03           | 16.104          | 12.852          | 987.8           | 0.117           | 44.25           | 54.49           | 1056.7          | 30.951          |
NGC3811                                 |  NGC3811        | 11.6879558      | 47.6908329      | SBc             | B               | R               |                 | 5.7             |  1.307          |  0.127          |    0.032        | 172.45          | 12.939          | 11.929          | 127.68          | 14.555          | 12.04           | 3152            | 0.082           | 42.54           | 188.83          | 3364.1          | 33.438          |
NGC3815                                 |  NGC3815        | 11.694251       | 24.8005045      | Sab             |                 |                 |                 | 2               |  1.158          |  0.274          |    0.027        | 70.07           | 14.081          | 12.672          | 158.12          | 14.94           |                 | 3703            | 0.129           | 62.24           | 178.68          | 3830.7          | 33.732          |
NGC3896                                 |  NGC3896        | 11.8156471      | 48.6747715      | SBab            | B               |                 |                 | 1.5             |  1.151          |  0.206          |    0.025        | 128.44          | 13.183          | 13.305          | 110.57          | 13.348          |                 | 918.1           | 0.093           | 55.43           | 134.28          | 1136.5          | 31.107          |
NGC3913                                 |  NGC3913        | 11.8441494      | 55.353889       | Scd             |                 | R               |                 | 6.6             |  1.216          |  0.071          |    0.024        | 151.5           | 13.361          | 12.781          | 18.65           | 14.867          | 13.629          | 951.1           | 0.055           | 32.42           | 34.8            | 1188.1          | 31.252          |
NGC3990                                 |  NGC3990        | 11.959879       | 55.458715       | E-S0            | B               |                 |                 | -2.7            |  1.148          |  0.272          |    0.037        | 41.39           | 13.457          |                 |                 |                 |                 | 687.4           | 0.074           | 80.19           |                 | 927.2           | 30.694          |
NGC3991                                 |  NGC3991        | 11.9584622      | 32.3342491      | I               | B               |                 | M               | 9.8             |  1.072          |  0.609          |    0.052        | 31              | 13.507          |                 | 98.01           | 14.371          | 12.104          | 3189.2          | 0.095           |   90            | 98.01           | 3356.6          | 33.438          |
NGC3994                                 |  NGC3994        | 11.9602411      | 32.2776664      | Sc              |                 | R               | M               | 4.8             |  0.929          |  0.269          |    0.041        | 9.65            | 13.348          | 12.293          | 48.48           | 13.97           |                 | 3070.9          | 0.095           | 59.51           | 56.26           | 3238.1          | 33.358          |
NGC4003                                 |  NGC4003        | 11.9664003      | 23.1248961      | S0              | B               | R               |                 | -1.6            |  1.018          |  0.231          |    0.027        | 159.7           | 14.592          | 12.777          |                 |                 |                 | 6550.1          | 0.113           | 65.25           |                 | 6680.6          | 34.936          |
NGC4047                                 |  NGC4047        | 12.0474071      | 48.6362161      | Sb              |                 |                 |                 | 3.3             |  1.186          |  0.119          |    0.026        | 99.87           | 12.756          | 11.738          | 138.66          | 15.622          | 11.485          | 3428.3          | 0.1             | 42.03           | 207.11          | 3652.6          | 33.638          |
NGC4149                                 |  NGC4149        | 12.1757966      | 58.3040773      | SABb            | B               |                 |                 | 3.7             |  1.137          |  0.702          |    0.055        | 86.04           | 13.917          | 12.619          | 207.66          |                 | 12.422          | 3063.3          | 0.085           |   90            | 207.66          | 3314            | 33.411          |
NGC4185                                 |  NGC4185        | 12.2228368      | 28.5109692      | SBbc            | B               | R               |                 | 3.7             |  1.268          |  0.166          |    0.024        | 165.44          | 13.412          | 12.078          | 169.65          | 14.929          |                 | 3893.3          | 0.092           | 48.84           | 225.34          | 4054.9          | 33.845          |
NGC4210                                 |  NGC4210        | 12.254401       | 65.9853551      | Sb              | B               | R               |                 | 3.1             |  1.287          |  0.145          |    0.052        | 96.23           | 13.378          | 12.228          | 118.64          | 16.01           | 13.11           | 2711.1          | 0.08            | 46.18           | 164.43          | 2976.4          | 33.188          |
NGC4211A                                |  NGC4211A       | 12.2603641      | 28.1696736      | S0-a            | B               |                 | M               | -0.3            |  0.639          |   0.18          |    0.028        | 156.54          | 15.849          | 14.562          |                 |                 | 13.311          | 6680.9          | 0.1             | 54.39           |                 | 6842.4          | 34.989          |
NGC4384                                 |  NGC4384        | 12.4199798      | 54.5061989      | Sa              |                 |                 | M               | 1.2             |  1.105          |   0.11          |    0.043        | 84.92           | 13.519          | 12.931          | 65.98           | 16.012          | 12.26           | 2498.7          | 0.083           | 41.69           | 99.2            | 2746.7          | 33.005          |
NGC4470                                 |  NGC4470        | 12.4938346      | 7.8241102       | Sab             |                 |                 | M               | 1.9             |  1.108          |  0.171          |    0.041        | 1.15            | 13.065          | 12.103          |  59.6           | 15.208          | 12.331          | 2336.8          | 0.105           | 50.58           | 77.15           | 2419            | 32.734          |
NGC4630                                 |  NGC4630        | 12.7086466      | 3.9597647       | I               | B               |                 | M               | 9.6             |  1.221          |  0.139          |    0.024        | 10.21           | 13.04           | 12.164          | 58.61           | 15.193          | 12.07           | 735.2           | 0.129           | 49.15           | 77.48           | 807.5           | 30.403          |
NGC4644                                 |  NGC4644        | 12.7118502      | 55.1455026      | Sb              | B               |                 | M               | 3.1             |   1.18          |  0.379          |    0.049        | 51.06           | 14.6            | 13.236          | 179.79          | 15.825          |                 | 4927.8          | 0.088           | 69.97           | 191.36          | 5183.5          | 34.387          |
NGC4676A                                |  NGC4676A       | 12.7694705      | 30.7319684      | S0-a            | B               |                 | M               | -1.4            |  1.335          |  0.233          |    0.061        | 179.14          | 14.53           | 13.491          | 328.12          | 15.271          |                 | 6566            | 0.071           | 64.42           | 363.79          | 6754.1          | 34.963          |
NGC4676B                                |  NGC4676B       | 12.7697966      | 30.7228223      | S0-a            | B               |                 | M               | -0.5            |  0.992          |   0.17          |    0.028        |                 | 14.329          | 13.218          | 318.08          | 16.011          | 12.098          | 6540.7          | 0.071           | 53.27           | 396.89          | 6728.8          | 34.963          |
NGC4711                                 |  NGC4711        | 12.8127393      | 35.3327152      | SBb             | B               |                 |                 | 3.2             |  1.081          |  0.248          |    0.046        | 40.93           | 14.268          | 12.847          | 135.69          | 15.686          | 13.408          | 4053.3          | 0.093           | 58.49           | 159.16          | 4258.7          | 33.952          |
NGC4816                                 |  NGC4816        | 12.9366946      | 27.7455344      | E-S0            |                 |                 |                 | -3              |   1.14          |   0.34          |    0.028        |                 | 13.638          | 10.925          |                 |                 |                 | 6934.6          | 0.038           |   90            |                 | 7117.1          | 35.08           |
NGC4841A                                |  NGC4841A       | 12.9588724      | 28.4769592      | E               |                 |                 | M               | -4.1            |   1.16          |   0.02          |    0.026        |                 | 13.762          | 12.095          |                 |                 |                 | 6765.6          | 0.047           | 21.76           |                 | 6951.6          | 35.029          |
NGC4874                                 |  NGC4874        | 12.9932486      | 27.9592823      | E               |                 |                 |                 | -3.6            |  1.359          |  0.063          |    0.022        | 49.33           | 12.777          | 11.658          |                 |                 | 15.183          | 7168            | 0.039           | 38.1            |                 | 7353.2          | 35.155          |
NGC4956                                 |  NGC4956        | 13.0835994      | 35.1780854      | S0              |                 |                 |                 | -2.3            |  1.193          |  0.012          |    0.059        |                 | 13.265          |                 | 85.98           | 17.365          |                 | 4678.7          | 0.04            | 15.25           | 326.86          | 4891.8          | 34.263          |
NGC4961                                 |  NGC4961        | 13.0965539      | 27.7340646      | Sc              | B               |                 |                 | 5.6             |  1.047          |  0.103          |     0.03        | 106.08          | 13.956          | 12.844          | 95.82           | 14.552          | 12.907          | 2531.7          | 0.049           | 38.71           | 153.23          | 2719.4          | 33.005          |
