!! request processed by HyperLeda Mon Aug  6 20:05:43 2018
!! Number of lines in uploaded file: 177
!! Manually edited names for IC2247, NGC4211NED02, UGC05498NED01, NGC 6125
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |       e_t       |     logd25      |    e_logd25     |     logr25      |    e_logr25     |       pa        |       bt        |      e_bt       |       it        |      e_it       |      vmaxg      |     e_vmaxg     |       m21       |      e_m21      |      mfir       |        v        |       e_v       |       ag        |      incl       |      bvtc       |      vrot       |     e_vrot      |     modbest     |    e_modbest    |      mabs       |     e_mabs      |
  NGC3057                               |  NGC3057        | 10.0942421      | 80.2856861      | Sd              | B               |                 |                 | 7.8             | 0.8             |   1.16          |     0.04        |  0.198          |    0.028        | 7.96            | 13.589          | 0.086           |                 |                 | 55.12           |    2.44         | 15.064          | 0.156           | 13.707          | 1525.1          | 3.6             | 0.103           | 58.32           | 0.429           | 64.77           |   2.92          |  31.582         |     0.403       | -18.462         |  0.413          |
  NGC3106                               |  NGC3106        | 10.0681263      | 31.1854293      | S0              |                 | R               |                 | -1.8            | 0.8             |   0.95          |    0.052        |   0.56          |    0.028        | 123.7           | 13.31           | 0.175           | 12.128          | 0.055           | 102.99          |    4.32         | 15.604          | 0.187           |                 | 6193.4          | 1.9             | 0.104           |   90            | 0.75            | 102.99          |                 |   34.81         |     0.172       | -21.697         |  0.246          |
  NGC3158                               |  NGC3158        | 10.230702       | 38.764939       | E               |                 |                 |                 | -4.8            | 0.4             |  1.365          |     0.03        |  0.077          |    0.028        | 151.58          | 12.894          | 0.114           | 11.611          | 0.132           |                 |                 |                 |                 |                 | 6921.1          |   2             | 0.057           | 47.39           | 0.931           |                 |                 |  35.055         |     0.154       | -22.321         |  0.191          |
  NGC3160                               |  NGC3160        | 10.2319672      | 38.8429692      | Sab             | B               |                 |                 | 2               | 1.7             |  1.096          |    0.078        |  0.693          |    0.046        | 140.09          | 15.02           | 0.323           | 13.234          | 0.068           |                 |                 |                 |                 |                 | 6861.1          | 2.7             | 0.059           |   90            |                 |                 |                 |  35.042         |     0.155       | -20.876         |  0.359          |
  NGC3303                               |  NGC3303        | 10.6166915      | 18.1358324      | Sa              |                 |                 | M               | 0.5             | 3.2             |   1.04          |    0.046        |  0.175          |    0.027        | 157             | 14.441          | 0.321           |                 |                 | 153.41          |    8.16         | 16.294          | 0.088           |                 | 6275.7          | 29.3            | 0.119           | 52.53           |                 | 193.31          |  10.45          |  34.825         |     0.172       | -20.704         |  0.364          |
  NGC3381                               |  NGC3381        | 10.8068937      | 34.7114023      | SBbc            | B               |                 |                 | 3.6             | 1.2             |  1.305          |    0.053        |  0.044          |    0.042        | 75.87           | 12.893          | 0.42            | 12.397          | 0.092           | 43.65           |    1.57         | 14.807          | 0.122           | 12.551          | 1628.1          | 0.9             | 0.089           | 26.26           |                 | 98.65           |   4.28          |  32.067         |     0.614       | -19.343         |  0.744          |
  NGC3614                               |  NGC3614        | 11.3059266      | 45.7482127      | SABc            | B               | R               |                 | 5.2             | 0.6             |  1.398          |    0.038        |  0.157          |    0.031        | 87.69           | 13.01           | 0.535           | 11.733          | 0.667           | 131.5           |    3.05         | 14.019          | 0.131           | 12.922          | 2328.9          | 1.6             | 0.061           | 46.98           |                 | 179.85          |   4.38          |  32.747         |     0.253       | -20.081         |  0.591          |
  NGC3687                               |  NGC3687        | 11.46683        | 29.5110084      | Sbc             | B               | R               | M               | 3.8             | 0.7             |  1.147          |    0.033        |  0.455          |    0.058        | 173.32          | 12.986          | 0.235           | 12.073          | 0.132           | 75.59           |    2.28         | 15.014          | 0.134           |                 | 2502.6          | 1.4             | 0.096           | 74.41           |                 | 78.48           |   2.39          |   32.94         |     0.411       | -20.761         |  0.473          |
  NGC3811                               |  NGC3811        | 11.6879558      | 47.6908329      | SBc             | B               | R               |                 | 5.7             | 0.7             |  1.307          |    0.043        |  0.127          |    0.032        | 172.45          | 12.939          | 0.144           | 11.929          | 0.339           | 127.68          |    3.37         | 14.555          |  0.15           | 12.04           | 3152            | 20.9            | 0.082           | 42.54           | 0.547           | 188.83          |    5.3          |  33.305         |     0.243       | -20.685         |  0.283          |
  NGC3815                               |  NGC3815        | 11.694251       | 24.8005045      | Sab             |                 |                 |                 | 2               | 0.3             |  1.158          |     0.04        |  0.274          |    0.027        | 70.07           | 14.081          | 0.28            | 12.672          | 0.06            | 157.93          |    4.32         | 14.955          | 0.223           |                 | 3702.7          | 3.8             | 0.129           | 62.24           |                 | 178.47          |   4.96          |  33.732         |     0.283       | -20.152         |  0.399          |
  NGC3994                               |  NGC3994        | 11.9602411      | 32.2776664      | Sc              |                 | R               | M               | 4.8             | 1.1             |  0.929          |    0.086        |  0.269          |    0.041        | 9.65            | 13.348          | 0.101           | 12.293          | 0.069           | 72.24           |     5.7         | 13.97           | 0.266           |                 | 3076            | 16.7            | 0.095           | 59.51           | 0.518           | 83.83           |   6.67          |  33.358         |     0.335       | -20.575         |  0.349          |
  NGC4003                               |  NGC4003        | 11.9664003      | 23.1248961      | S0              | B               | R               |                 | -1.6            | 1.2             |  1.018          |    0.048        |  0.231          |    0.027        | 159.7           | 14.592          | 0.362           | 12.777          | 0.06            |                 |                 |                 |                 |                 | 6550.1          | 2.4             | 0.113           | 65.25           |                 |                 |                 |  34.936         |     0.162       | -20.555         |  0.397          |
  NGC4047                               |  NGC4047        | 12.0474071      | 48.6362161      | Sb              |                 |                 |                 | 3.3             | 0.9             |  1.186          |    0.042        |  0.119          |    0.026        | 99.87           | 12.756          | 0.236           | 11.738          | 0.066           | 138.66          |    4.19         | 15.622          | 0.123           | 11.485          | 3428.3          | 2.7             | 0.1             | 42.03           |                 | 207.11          |   6.55          |  33.638         |     0.297       | -21.191         |  0.379          |
  NGC4149                               |  NGC4149        | 12.1757966      | 58.3040773      | SABb            | B               |                 |                 | 3.7             | 2.7             |  1.137          |    0.092        |  0.702          |    0.055        | 86.04           | 13.917          | 0.274           | 12.619          | 0.064           | 207.66          |   18.47         |                 |                 | 12.422          | 3063.3          | 6.1             | 0.085           |   90            |                 | 207.66          |                 |  33.411         |     0.327       | -20.606         |  0.427          |
  NGC4185                               |  NGC4185        | 12.2228368      | 28.5109692      | SBbc            | B               | R               |                 | 3.7             | 0.6             |  1.268          |    0.033        |  0.166          |    0.024        | 165.44          | 13.412          | 0.246           | 12.078          | 0.127           | 169.44          |    4.25         | 14.951          | 0.189           |                 | 3892.6          | 4.8             | 0.092           | 48.84           |                 | 225.06          |   5.84          |  33.845         |     0.268       | -20.814         |  0.363          |
  NGC4210                               |  NGC4210        | 12.254401       | 65.9853551      | Sb              | B               | R               |                 | 3.1             | 0.4             |  1.287          |    0.055        |  0.145          |    0.052        | 96.23           | 13.378          | 0.305           | 12.228          |  0.1            | 118.64          |    6.13         | 16.01           | 0.092           | 13.11           | 2711.1          | 4.8             | 0.08            | 46.18           |                 | 164.43          |   8.85          |  33.188         |     0.365       | -20.127         |  0.475          |
  NGC4211NED02                          |  NGC4211        | 12.2599534      | 28.1776326      | S0-a            |                 |                 | M               | 0.1             | 0.6             |  1.011          |    0.046        |  0.231          |    0.027        | 123.12          | 14.298          | 0.317           | 12.961          |  0.1            | 255.68          |   10.86         | 16.095          | 0.213           |                 | 6571.2          | 11.4            | 0.1             | 60.43           |                 | 293.96          |  12.65          |  34.963         |     0.161       | -20.965         |  0.356          |
  NGC4470                               |  NGC4470        | 12.4938346      | 7.8241102       | Sab             |                 |                 | M               | 1.9             | 2.1             |  1.108          |    0.071        |  0.171          |    0.041        | 1.15            | 13.065          | 0.029           | 12.103          | 0.176           | 59.61           |    1.66         | 15.214          |  0.16           | 12.331          | 2336.7          | 2.1             | 0.105           | 50.58           |                 | 77.17           |   2.26          |   31.58         |     0.778       | -18.853         |  0.779          |
  NGC4644                               |  NGC4644        | 12.7118502      | 55.1455026      | Sb              | B               |                 | M               | 3.1             | 0.6             |   1.18          |    0.071        |  0.379          |    0.049        | 51.06           | 14.6            | 0.052           | 13.236          | 0.056           | 179.79          |   11.22         | 15.825          |   0.2           |                 | 4927.8          | 4.7             | 0.088           | 69.97           | 0.656           | 191.36          |  12.02          |  34.387         |     0.209       | -20.457         |  0.216          |
  NGC4676A                              |  NGC4676A       | 12.7694705      | 30.7319684      | S0-a            | B               |                 | M               | -1.4            | 1.4             |  1.335          |    0.065        |  0.233          |    0.061        | 179.14          | 14.53           | 0.505           | 13.491          | 0.077           | 328.12          |   21.05         | 15.271          |  0.42           |                 | 6566            | 16.3            | 0.071           | 64.42           |                 | 363.79          |   23.8          |  34.963         |     0.161       | -20.602         |   0.53          |
  NGC4676B                              |  NGC4676B       | 12.7697966      | 30.7228223      | S0-a            | B               |                 | M               | -0.5            |   1             |  0.992          |    0.058        |   0.17          |    0.028        |                 | 14.329          | 0.392           | 13.218          | 0.072           | 318.08          |   24.19         | 15.956          |  0.34           | 12.098          | 6541.2          | 14.9            | 0.071           | 53.27           |                 | 396.89          |  30.56          |  34.963         |     0.161       | -20.823         |  0.424          |
  NGC4711                               |  NGC4711        | 12.8127393      | 35.3327152      | SBb             | B               |                 |                 | 3.2             | 0.7             |  1.081          |     0.08        |  0.248          |    0.046        | 40.93           | 14.268          | 0.291           | 12.847          | 0.053           | 136.59          |   10.03         | 15.641          | 0.317           | 13.408          | 4051.3          | 4.1             | 0.093           | 58.49           |                 | 160.22          |   11.9          |  33.952         |     0.255       | -20.177         |  0.387          |
  NGC4956                               |  NGC4956        | 13.0835994      | 35.1780854      | S0              |                 |                 |                 | -2.3            | 0.9             |  1.193          |    0.082        |  0.012          |    0.059        |                 | 13.265          | 0.067           |                 |                 | 85.98           |    9.17         | 17.365          |  0.42           |                 | 4679.4          | 9.3             | 0.04            | 15.25           | 0.835           | 326.86          |  48.92          |  34.263         |     0.222       | -21.108         |  0.232          |
  NGC4961                               |  NGC4961        | 13.0965539      | 27.7340646      | Sc              | B               |                 |                 | 5.6             | 0.8             |  1.047          |    0.048        |  0.103          |     0.03        | 106.08          | 13.956          | 0.057           | 12.844          | 0.232           | 95.74           |    2.22         | 14.565          | 0.142           | 12.907          | 2531.7          | 2.3             | 0.049           | 38.71           | 0.403           | 153.1           |   3.86          |  32.897         |     0.233       | -19.181         |   0.24          |
  NGC5000                               |  NGC5000        | 13.1631908      | 28.9068688      | Sbc             | B               | R               | M               | 3.8             | 0.7             |  1.107          |    0.046        |  0.099          |    0.027        | 62.96           | 13.98           | 0.129           | 12.668          | 0.127           | 65.95           |    2.57         | 15.825          | 0.147           | 13.042          | 5593.7          | 3.9             | 0.039           | 38.43           | 0.636           | 106.11          |   4.33          |  34.632         |     0.187       | -20.886         |  0.227          |
  NGC5016                               |  NGC5016        | 13.2018565      | 24.0950337      | SABb            | B               |                 |                 | 4.4             | 0.5             |  1.197          |    0.034        |  0.138          |    0.021        | 57.39           | 13.083          | 0.077           | 12.068          | 0.056           | 111.94          |    2.95         | 15.06           | 0.103           | 12.657          | 2609.1          | 1.7             | 0.057           | 44.69           |                 | 159.17          |   4.35          |  33.179         |     0.279       | -20.401         |  0.289          |
  NGC5029                               |  NGC5029        | 13.2104415      | 47.0632854      | E               |                 |                 |                 | -4.8            | 0.6             |  1.181          |    0.038        |  0.212          |    0.025        | 147.34          | 14.202          | 0.434           | 12.332          | 0.099           |                 |                 |                 |                 |                 | 8694.1          |   2             | 0.04            |   90            |                 |                 |                 |  35.582         |     0.121       | -21.55          |  0.451          |
  NGC5056                               |  NGC5056        | 13.2700898      | 30.9503465      | SABc            | B               |                 |                 | 5.8             | 0.6             |   1.21          |    0.028        |  0.297          |    0.022        | 0.71            | 13.699          | 0.082           | 12.345          | 0.23            | 157.66          |    2.86         | 15.354          | 0.092           | 12.831          | 5592.8          | 4.1             | 0.05            | 61.41           | 0.466           | 179.55          |   3.32          |  34.632         |     0.187       | -21.529         |  0.204          |
  NGC5205                               |  NGC5205        | 13.5010013      | 62.5115364      | SBbc            | B               | R               |                 | 4               | 1.4             |    1.2          |    0.039        |  0.229          |    0.026        | 167.86          | 13.436          | 0.277           | 12.097          | 0.303           | 113.24          |    2.57         | 14.708          | 0.106           | 13.789          | 1760.3          | 1.6             | 0.098           | 56.05           |                 | 136.52          |   3.17          |  32.567         |     0.267       | -19.609         |  0.385          |
  NGC5218                               |  NGC5218        | 13.5362216      | 62.767743       | SBb             | B               |                 | M               | 3.1             | 0.5             |  1.264          |    0.035        |  0.182          |    0.031        | 93.36           | 13.093          | 0.061           | 11.814          | 0.104           | 151.65          |    11.5         | 15.19           | 0.092           | 10.954          | 2860.4          | 14.7            | 0.09            | 51.12           | 0.697           | 194.81          |  14.95          |   33.38         |     0.239       | -20.668         |  0.246          |
  NGC5394                               |  NGC5394        | 13.9760117      | 37.4534963      | SBb             | B               |                 | M               | 3.1             | 0.6             |   1.42          |    0.031        |  0.389          |     0.03        |                 | 13.567          | 0.138           |                 |                 | 242.74          |   12.74         | 14.25           | 0.092           | 11.029          | 3467            | 10.2            | 0.045           | 70.75           | 0.52            | 257.11          |  13.56          |  33.662         |     0.292       | -20.718         |  0.323          |
  NGC5406                               |  NGC5406        | 14.0055879      | 38.9154284      | Sbc             | B               |                 | M               | 3.8             | 0.6             |  1.229          |    0.037        |  0.143          |    0.025        | 115.03          | 13.117          | 0.043           | 11.827          | 0.126           | 177.34          |    7.04         | 15.703          |  0.21           | 13.037          | 5388.6          | 1.8             | 0.051           | 45.52           | 0.717           | 248.54          |  10.13          |  34.569         |     0.192       | -21.767         |  0.197          |
  NGC5480                               |  NGC5480        | 14.1059949      | 50.7251039      | Sc              |                 |                 | M               | 4.9             | 0.5             |  1.224          |    0.034        |  0.118          |     0.03        | 177.02          | 12.756          | 0.264           | 11.707          | 0.618           | 90.47           |    3.43         | 15.178          | 0.114           | 11.521          | 1906.5          | 9.3             | 0.079           | 41.47           |                 | 136.63          |    5.4          |  32.507         |     0.497       | -20.043         |  0.563          |
  NGC5485                               |  NGC5485        | 14.1198186      | 55.0016262      | S0              |                 |                 |                 | -2              | 0.6             |    1.4          |    0.028        |  0.156          |    0.025        | 170.25          | 12.4            | 0.11            | 10.855          | 0.239           |  75.4           |    5.02         | 15.641          | 0.393           |                 | 1904.5          | 1.6             | 0.068           | 54.59           | 0.852           | 92.52           |   6.25          |  32.194         |      0.28       | -19.89          |  0.301          |
  NGC5520                               |  NGC5520        | 14.206337       | 50.3484461      | Sb              |                 |                 |                 | 3.1             | 0.4             |  1.206          |    0.066        |  0.304          |    0.055        | 65.65           | 13.309          | 0.278           | 12.112          | 0.375           | 123.43          |    4.37         | 15.322          | 0.085           | 12.077          | 1877            |   4             | 0.078           | 63.85           |                 | 137.5           |   4.97          |  32.828         |     0.231       | -20.052         |  0.361          |
  NGC5614                               |  NGC5614        | 14.402108       | 34.858852       | Sab             |                 | R               | M               | 1.7             | 0.7             |  1.385          |    0.033        |  0.083          |    0.052        | 150             | 12.568          | 0.029           |                 |                 | 68.85           |    3.94         | 16.273          | 0.119           | 12.324          | 3897.2          | 6.4             | 0.068           | 36.23           | 0.799           | 116.49          |   7.18          |  33.909         |     0.262       | -21.547         |  0.263          |
  NGC5630                               |  NGC5630        | 14.4601722      | 41.2577621      | SBd             | B               |                 |                 | 7.8             | 0.8             |   1.17          |     0.04        |  0.451          |    0.028        | 95.74           | 13.605          | 0.306           | 12.983          | 0.069           | 106.43          |    3.41         | 14.888          | 0.133           | 12.625          | 2672.1          | 3.5             | 0.05            |   90            |                 | 106.43          |                 |  32.665         |     0.368       | -19.936         |  0.478          |
  NGC5631                               |  NGC5631        | 14.4425796      | 56.5826269      | S0              |                 |                 |                 | -2              | 0.7             |  1.289          |    0.065        |      0          |    0.057        |                 | 12.48           | 0.072           |                 |                 | 165.36          |   14.29         | 15.839          | 0.314           |                 | 1953.4          | 9.8             | 0.088           |    0            | 0.881           |                 |                 |  32.274         |     0.215       | -19.911         |  0.227          |
  NGC5633                               |  NGC5633        | 14.4578802      | 46.1465238      | Sb              |                 | R               |                 | 3.2             | 0.6             |  1.037          |    0.034        |  0.179          |    0.018        | 10.86           | 13.105          | 0.074           | 11.723          | 0.296           | 125.4           |    3.43         | 15.04           | 0.098           | 11.825          | 2325.8          | 3.6             | 0.071           | 50.75           | 0.555           | 161.94          |   4.52          |  32.856         |     0.289       | -20.11          |  0.298          |
  NGC5657                               |  NGC5657        | 14.5121139      | 29.1807544      | Sb              | B               | R               |                 | 3.1             | 0.6             |  1.243          |    0.068        |  0.394          |    0.053        | 168.16          | 14.344          | 0.282           | 12.678          | 0.298           | 151.52          |    4.02         | 15.04           | 0.216           | 12.695          | 3966.6          | 14.5            | 0.08            | 71.07           |                 | 160.19          |   4.31          |  33.931         |     0.259       | -20.258         |  0.383          |
  NGC5682                               |  NGC5682        | 14.5791894      | 48.669722       | Sb              | B               |                 |                 | 3.2             | 0.9             |   0.81          |    0.062        |   0.43          |    0.028        | 136.07          | 14.797          | 0.154           | 13.792          | 0.08            | 99.19           |    3.45         | 15.876          | 0.142           | 13.731          | 2276.9          | 1.2             | 0.14            | 73.58           | 0.331           | 103.41          |   3.61          |  32.873         |     0.424       | -18.85          |  0.451          |
  NGC5732                               |  NGC5732        | 14.6774938      | 38.6377297      | Sbc             |                 |                 |                 | 4               | 0.3             |   1.09          |     0.04        |  0.278          |    0.024        | 42.34           | 14.341          | 0.272           | 13.34           | 0.079           | 283.4           |   13.36         |                 |                 | 13.65           | 3735.5          | 24.1            | 0.067           | 60.76           |                 | 324.78          |  15.43          |  33.823         |     0.272       | -20.018         |  0.384          |
  NGC5784                               |  NGC5784        | 14.9045693      | 42.557903       | S0              |                 |                 | M               | -1.9            | 0.4             |  1.171          |    0.049        |  0.039          |    0.026        |                 | 13.655          | 0.245           |                 |                 |                 |                 |                 |                 | 13.157          | 5370            |  16             | 0.094           | 27.47           |                 |                 |                 |  34.569         |     0.192       | -21.089         |  0.311          |
  NGC5876                               |  NGC5876        | 15.1587724      | 54.5064656      | SBab            | B               | R               |                 | 1.5             | 0.6             |  1.391          |    0.048        |  0.328          |    0.047        | 48.22           | 13.707          | 0.303           | 12.076          | 0.058           | 221.57          |   13.51         | 16.21           | 0.092           |                 | 3254.1          | 3.3             | 0.057           | 68.09           |                 | 238.82          |  14.69          |  33.565         |     0.305       | -20.293         |   0.43          |
  NGC5888                               |  NGC5888        | 15.2187184      | 41.2646586      | Sbc             | B               |                 | M               | 3.7             | 0.7             |  1.124          |    0.039        |  0.214          |    0.024        | 156.69          | 14.173          | 0.285           | 12.592          | 0.054           |                 |                 |                 |                 |                 | 8709.7          | 3.7             | 0.093           | 54.58           |                 |                 |                 |  35.592         |     0.121       | -21.906         |   0.31          |
  NGC5908                               |  NGC5908        | 15.2786653      | 55.4095087      | SBb             | B               |                 |                 | 3               | 0.4             |  1.528          |    0.044        |   0.32          |    0.045        | 153.45          | 12.805          | 0.117           | 10.711          | 0.211           | 314.56          |     9.5         | 14.513          | 0.129           | 11.188          | 3332.8          | 9.2             | 0.065           | 65.31           | 0.815           | 346.21          |  10.64          |  33.614         |     0.299       | -21.355         |  0.321          |
  NGC5930                               |  NGC5930        | 15.4355388      | 41.6760604      | SABa            | B               |                 | M               | 2.3             |   1             |  1.267          |    0.059        |   0.37          |    0.047        | 173.28          | 13.177          | 0.396           | 10.426          | 0.078           | 106.1           |    5.19         | 16.387          | 0.276           | 10.797          | 2588.2          |  28             | 0.104           | 70.45           |                 | 112.59          |   5.55          |  33.098         |     0.379       | -20.519         |  0.548          |
  NGC5934                               |  NGC5934        | 15.4702123      | 42.9299198      | SBa             | B               |                 | M               | 1               | 1.4             |  0.786          |    0.155        |  0.323          |    0.051        | 4.93            | 14.444          | 0.276           | 12.756          | 0.079           |                 |                 |                 |                 | 12.735          | 5563.4          | 3.2             | 0.127           | 68.65           |                 |                 |                 |  34.647         |     0.186       | -20.675         |  0.333          |
  NGC5947                               |  NGC5947        | 15.510164       | 42.7171558      | SBbc            | B               |                 |                 | 3.7             | 0.6             |  1.067          |    0.042        |  0.154          |    0.034        | 45.24           | 14.584          | 0.362           | 13.107          | 0.063           |                 |                 |                 |                 | 13.525          | 5934.6          | 1.9             | 0.141           | 47.25           |                 |                 |                 |  34.782         |     0.174       | -20.621         |  0.402          |
  NGC5953                               |  NGC5953        | 15.575665       | 15.1937933      | S0-a            |                 |                 | M               | 0.1             | 1.6             |  1.168          |    0.038        |  0.117          |     0.02        |                 | 12.983          | 0.151           |                 |                 | 61.58           |    3.46         | 15.477          | 0.213           | 10.567          | 1969.8          | 6.9             | 0.211           | 43.94           |                 | 88.75           |   5.08          |  32.507         |     0.499       | -19.82          |  0.522          |
  NGC5971                               |  NGC5971        | 15.5935814      | 56.4616827      | Sa              |                 | R               |                 | 1.1             | 0.5             |  1.098          |    0.047        |  0.371          |     0.03        | 132.19          | 14.719          | 0.324           | 13.126          | 0.093           |                 |                 |                 |                 |                 | 3363.9          | 1.6             | 0.036           | 73.19           |                 |                 |                 |  33.638         |     0.296       | -19.317         |  0.439          |
  NGC5980                               |  NGC5980        | 15.6917825      | 15.7876763      | Sbc             |                 |                 |                 | 4.4             | 1.6             |  1.213          |    0.036        |  0.501          |    0.029        | 14.49           | 13.21           | 0.325           |                 |                 | 194.98          |     6.8         | 15.135          | 0.237           | 11.657          | 4087.4          | 2.7             | 0.15            | 76.43           |                 | 200.58          |   7.02          |  33.888         |     0.229       | -21.653         |  0.398          |
  NGC5987                               |  NGC5987        | 15.6659436      | 58.0795287      | Sb              |                 |                 |                 | 2.9             | 0.6             |  1.584          |    0.029        |  0.462          |    0.028        |                 | 12.72           | 0.079           | 10.35           |  0.1            | 275.17          |    7.14         | 14.793          | 0.166           |                 | 3006.2          |   2             | 0.068           | 76.42           | 0.881           | 283.09          |   7.39          |  33.411         |     0.328       | -21.413         |  0.337          |
  NGC6004                               |  NGC6004        | 15.8396439      | 18.9392466      | Sc              | B               |                 |                 | 4.8             | 0.9             |  1.277          |    0.032        |  0.103          |    0.027        | 95.48           | 13.368          | 0.297           | 12.066          | 0.406           | 104.47          |    2.76         | 16.41           | 0.142           | 12.804          | 3818.8          | 5.9             | 0.175           | 38.86           |                 | 166.5           |    4.7          |  33.845         |     0.268       | -20.848         |  0.401          |
  NGC6021                               |  NGC6021        | 15.958526       | 15.9560201      | E               |                 |                 |                 | -4              |   1             |  1.189          |     0.03        |  0.232          |    0.029        | 157.97          | 14.079          | 0.112           | 12.451          | 0.081           |                 |                 |                 |                 |                 | 4740.2          | 1.4             | 0.169           |   90            | 0.967           |                 |                 |  34.281         |     0.219       | -20.443         |  0.246          |
  NGC6027                               |  NGC6027        | 15.9863494      | 20.7621839      | S0-a            |                 |                 | M               | -1.5            | 1.2             |  1.214          |    0.076        |  0.207          |    0.057        | 17.63           | 15.283          | 0.122           | 14.227          | 0.116           |                 |                 |                 |                 | 13.037          | 4415.8          | 24.2            | 0.238           | 61.1            |                 |                 |                 |  34.151         |     0.234       | -19.172         |  0.264          |
  NGC6032                               |  NGC6032        | 16.0503148      | 20.9559748      | Sb              | B               |                 |                 | 3.1             | 0.5             |   0.92          |    0.054        |  0.215          |    0.032        | 1.13            | 14.35           | 0.127           | 12.788          | 0.232           | 135.79          |    6.82         | 15.424          | 0.266           | 13.912          | 4326.4          |   8             | 0.392           | 55.07           | 0.633           | 165.63          |   8.44          |  34.113         |     0.238       | -20.504         |   0.27          |
  NGC6060                               |  NGC6060        | 16.0977736      | 21.4849331      | SABc            | B               | R               |                 | 4.8             | 0.7             |  1.277          |    0.053        |  0.269          |    0.039        | 103.34          | 14.083          | 0.332           | 11.649          | 0.226           | 214.23          |    5.98         | 13.883          | 0.129           | 12.288          | 4404.3          |  14             | 0.347           | 59.49           |                 | 248.66          |    7.1          |  34.151         |     0.234       | -20.892         |  0.406          |
  NGC6063                               |  NGC6063        | 16.1202739      | 7.978973        | Sc              |                 |                 | M               | 5.8             | 0.5             |  1.212          |    0.033        |  0.283          |    0.023        | 157.07          | 13.948          | 0.292           | 12.584          | 0.209           | 123.18          |    3.42         | 15.322          | 0.091           |                 | 2844.9          | 2.8             | 0.201           | 60.26           |                 | 141.86          |   3.99          |   33.09         |     0.026       | -19.851         |  0.293          |
  NGC6081                               |  NGC6081        | 16.2157929      | 9.8671048       | S0              |                 |                 |                 | -1.8            | 0.9             |  1.191          |    0.035        |  0.441          |    0.027        | 130.67          | 14.331          | 0.245           | 12.389          | 0.067           | 280.93          |    14.6         | 16.66           | 0.211           |                 | 5113.3          | 4.7             | 0.192           |   90            |                 | 280.93          |                 |  34.438         |     0.205       | -20.375         |  0.319          |
  NGC6125                               |  NGC6127        | 16.3198732      | 57.9841256      | E               |                 |                 |                 | -4.9            | 0.4             |  1.139          |    0.081        |      0          |    0.057        |                 | 12.997          | 0.062           |                 |                 |                 |                 |                 |                 |                 | 4810            | 47.3            | 0.054           |    0            | 0.942           |                 |                 |  34.352         |     0.213       | -21.481         |  0.222          |
  NGC6132                               |  NGC6132        | 16.3941192      | 11.7862551      | Sab             |                 |                 |                 | 2               | 0.5             |  1.108          |    0.041        |  0.475          |    0.026        | 126.5           | 14.709          | 0.274           | 13.453          | 0.051           | 154.3           |    4.88         | 15.391          | 0.224           | 13.708          | 4965.2          | 2.4             | 0.314           | 79.87           |                 | 156.74          |   4.97          |  34.387         |      0.21       | -20.588         |  0.345          |
  NGC6146                               |  NGC6146        | 16.4195407      | 40.8926984      | E               |                 |                 |                 | -4.8            | 0.5             |   1.22          |    0.068        |   0.12          |     0.05        | 82.77           | 13.511          | 0.077           | 11.242          | 0.064           |                 |                 |                 |                 | 15.06           | 8816.8          | 17.4            | 0.036           | 60.7            | 0.898           |                 |                 |  35.623         |     0.119       | -22.279         |  0.142          |
  NGC6154                               |  NGC6154        | 16.4251373      | 49.8402465      | Sa              | B               | R               |                 | 1.1             | 0.4             |  1.147          |    0.045        |  0.147          |    0.029        | 149.56          | 13.871          | 0.285           | 12.474          | 0.147           | 59.31           |     2.6         |  16             | 0.193           |                 | 5965.7          | 3.2             | 0.097           | 47.93           |                 | 79.91           |   3.59          |  34.796         |     0.173       | -21.236         |  0.333          |
  NGC6155                               |  NGC6155        | 16.4356458      | 48.3667871      | SBbc            | B               | R               |                 | 4.1             | 1.9             |  1.123          |    0.038        |  0.193          |    0.025        | 147.41          | 13.065          | 0.35            | 12.166          | 0.234           | 82.71           |    5.49         | 16.01           | 0.092           | 12.202          | 2413.7          | 2.6             | 0.06            | 51.94           |                 | 105.05          |   7.04          |  32.422         |     0.524       | -19.744         |   0.63          |
  NGC6168                               |  NGC6168        | 16.5226413      | 20.1843875      | Sd              |                 |                 |                 | 7.9             | 0.8             |  1.217          |     0.04        |   0.54          |    0.028        | 111             | 14.609          | 0.275           | 13.185          | 0.13            | 117.26          |    3.59         | 15.078          | 0.155           | 12.481          | 2523.2          | 4.1             | 0.274           |   90            |                 | 117.26          |                 |  32.706         |     0.261       | -19.356         |  0.379          |
  NGC6186                               |  NGC6186        | 16.5737475      | 21.5408868      | Sa              | B               |                 |                 | 1.2             | 0.8             |  1.196          |    0.035        |  0.352          |    0.035        | 58.87           | 14.229          | 0.33            | 13.059          | 0.093           | 119.05          |    7.27         | 16.669          | 0.266           | 11.902          | 2936.5          |   2             | 0.202           | 71.02           |                 | 125.89          |   7.74          |   33.33         |     0.342       | -19.666         |  0.475          |
  NGC6278                               |  NGC6278        | 17.0139793      | 23.0110376      | S0              | B               | R               |                 | -1.8            | 0.7             |  1.237          |     0.04        |  0.305          |    0.026        | 127.75          | 13.748          | 0.247           |                 |                 | 74.59           |    4.42         | 17.188          | 0.372           |                 | 2795.2          | 23.8            | 0.272           | 78.77           |                 | 76.04           |   4.53          |  33.246         |     0.357       | -19.812         |  0.434          |
